Symbol,Atomic number (Z),Atomic Mass (u),RHS (Ang),EOLJ_He (meV),ROLJ_He (Ang),EOLJ_N2 (meV),ROLJ_N2 (Ang), EOLJ_UFF (meV),ROLJ_UFF (Ang), EOLJ_UFF_He (meV),ROLJ_UFF_He (Ang), EOLJ_UFF_N2 (meV),ROLJ_UFF_N2 (Ang),"[R,V,B]"
Pm,61,145,2.838,0.312,2.838,0.363,3.299,0.390,3.547,0.312,2.838,0.363,3.299,"[163,255,199]"
Sm,62,150.36,2.816,0.278,2.816,0.323,3.274,0.347,3.520,0.278,2.816,0.323,3.274,"[143,255,199]"
Eu,63,151.96,2.794,0.278,2.794,0.323,3.248,0.347,3.493,0.278,2.794,0.323,3.248,"[97,255,199]"
Gd,64,157.25,2.694,0.312,2.694,0.363,3.132,0.390,3.368,0.312,2.694,0.363,3.132,"[69,255,199]"
Tb,65,158.93,2.761,0.243,2.761,0.282,3.209,0.304,3.451,0.243,2.761,0.282,3.209,"[48,255,199]"
Dy,66,162.5,2.742,0.243,2.742,0.282,3.188,0.304,3.428,0.243,2.742,0.282,3.188,"[31,255,199]"
Ho,67,164.93,2.727,0.243,2.727,0.282,3.170,0.304,3.409,0.243,2.727,0.282,3.170,"[0,255,156]"
Er,68,167.26,2.713,0.243,2.713,0.282,3.154,0.304,3.391,0.243,2.713,0.282,3.154,"[0,230,117]"
Tm,69,168.93,2.699,0.208,2.699,0.242,3.138,0.260,3.374,0.208,2.699,0.242,3.138,"[0,212,82]"
Yb,70,173.04,2.684,7.910,2.684,9.195,3.120,9.887,3.355,7.910,2.684,9.195,3.120,"[0,191,56]"
Lu,71,174.97,2.912,1.422,2.912,1.653,3.385,1.778,3.640,1.422,2.912,1.653,3.385,"[0,171,36]"
Hf,72,178.49,2.513,2.498,2.513,2.904,2.921,3.122,3.141,2.498,2.513,2.904,2.921,"[77,194,255]"
Ta,73,180.95,2.536,2.810,2.536,3.267,2.948,3.512,3.170,2.810,2.536,3.267,2.948,"[77,166,255]"
W,74,183.84,2.455,2.324,2.455,2.702,2.854,2.905,3.069,2.324,2.455,2.702,2.854,"[33,148,214]"
Re,75,186.21,2.363,2.290,2.363,2.662,2.747,2.862,2.954,2.290,2.363,2.662,2.747,"[38,125,171]"
Os,76,190.23,2.496,1.284,2.496,1.492,2.902,1.604,3.120,1.284,2.496,1.492,2.902,"[38,102,150]"
Ir,77,192.22,2.272,2.532,2.272,2.944,2.641,3.166,2.840,2.532,2.272,2.944,2.641,"[23,84,135]"
Pt,78,195.08,2.203,2.775,2.203,3.226,2.561,3.469,2.754,2.775,2.203,3.226,2.561,"[208,208,224]"
Au,79,196.97,2.634,1.353,2.634,1.573,3.062,1.691,3.293,1.353,2.634,1.573,3.062,"[255,209,35]"
Hg,80,200.59,2.164,13.356,2.164,15.527,2.516,16.695,2.705,13.356,2.164,15.527,2.516,"[184,184,208]"
Tl,81,204.38,3.478,23.590,3.478,27.423,4.043,29.488,4.347,23.590,3.478,27.423,4.043,"[166,84,77]"
Pb,82,207.2,3.438,23.000,3.438,26.738,3.996,28.750,4.297,23.000,3.438,26.738,3.996,"[87,89,97]"
Bi,83,208.98,3.496,17.970,3.496,20.890,4.064,22.463,4.370,17.970,3.496,20.890,4.064,"[158,79,181]"
Po,84,209,3.767,11.275,3.767,13.107,4.379,14.093,4.709,11.275,3.767,13.107,4.379,"[171,92,0]"
At,85,210,3.800,9.852,3.800,11.453,4.418,12.315,4.750,9.852,3.800,11.453,4.418,"[117,79,69]"
Rn,86,222,3.812,8.603,3.812,10.001,4.431,10.754,4.765,8.603,3.812,10.001,4.431,"[66,130,150]"
Fr,87,223,3.920,1.735,3.920,2.016,4.557,2.168,4.900,1.735,3.920,2.016,4.557,"[66,0,102]"
Ra,88,226,2.942,14.015,2.942,16.293,3.420,17.519,3.677,14.015,2.942,16.293,3.420,"[0,125,0]"
Ac,89,227,2.782,1.145,2.782,1.331,3.235,1.431,3.478,1.145,2.782,1.331,3.235,"[112,171,250]"
Pa,91,231.04,2.739,0.902,2.739,1.049,3.184,1.127,3.424,0.902,2.739,1.049,3.184,"[0,161,255]"
Th,90,232.04,2.717,0.763,2.717,0.887,3.158,0.954,3.396,0.763,2.717,0.887,3.158,"[0,186,255]"
Np,93,237,2.739,0.659,2.739,0.766,3.184,0.824,3.424,0.659,2.739,0.766,3.184,"[0,128,255]"
U,92,238.03,2.716,0.763,2.716,0.887,3.157,0.954,3.395,0.763,2.716,0.887,3.157,"[0,143,255]"
Am,95,243,2.705,0.486,2.705,0.565,3.144,0.607,3.381,0.486,2.705,0.565,3.144,"[84,92,242]"
Pu,94,244,2.739,0.555,2.739,0.645,3.184,0.694,3.424,0.555,2.739,0.645,3.184,"[0,107,255]"
Cm,96,247,2.661,0.451,2.661,0.524,3.093,0.564,3.326,0.451,2.661,0.524,3.093,"[120,92,227]"
Bk,97,247,2.671,0.451,2.671,0.524,3.105,0.564,3.339,0.451,2.671,0.524,3.105,"[138,79,227]"
Cf,98,251,2.650,0.451,2.650,0.524,3.081,0.564,3.313,0.451,2.650,0.524,3.081,"[161,54,212]"
Es,99,252,2.639,0.416,2.639,0.484,3.068,0.520,3.299,0.416,2.639,0.484,3.068,"[179,31,212]"
Fm,100,257,2.629,0.416,2.629,0.484,3.056,0.520,3.286,0.416,2.629,0.484,3.056,"[179,31,186]"
Md,101,258,2.619,0.382,2.619,0.444,3.045,0.477,3.274,0.382,2.619,0.444,3.045,"[179,13,166]"
No,102,259,2.598,0.382,2.598,0.444,3.021,0.477,3.248,0.382,2.598,0.444,3.021,"[189,13,135]"
Lr,103,262,2.589,0.382,2.589,0.444,3.009,0.477,3.236,0.382,2.589,0.444,3.009,"[199,0,102]"
